"","article","sentence"
"73","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+84","Attention may vary even within conscientious work- ers, and researchers may want to induce attentiveness ex ante by including tasks that signal to workers that their subsequent responses will be scrutinized (e.g., tasks in which participants must answer factually verifiable ques- tions; Heer & Bostock, 2010; Kittur, Chi, & Suh, 2008) or require commitment (Rand, Greene, & Nowak, 2012)."
"74","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+85","Performance-contingent bonuses increase passing rates on factual manipulation checks, perhaps by signaling that certain information should be attended to ( J."
"75","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+87","Moreover, consistent with the importance of intrinsic motivation among workers, data quality can be increased by embedding tasks with “mean- ing.”"
"76","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+88","Thanking workers and explaining to them the mean- ing of the task they will complete can stimulate better work (D."
"77","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+89","Chandler & Kapelner, 2013), as does framing a task as requested by a nonprofit organization (Rogstadius et al., 2011)."
"78","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+90","Conclusions MTurk has accelerated and democratized science by facilitating access to a heterogeneous research-partici- pant pool and has provided scientists with a platform to conduct research that is hard to conduct within physical labs or elsewhere online, such as studies of the real-time dynamics of large groups (e.g., Mason & Watts, 2012), cross-cultural comparisons (between the United States  and India; Eriksson & Simpson, 2010), longitudinal stud- ies (e.g., Berinsky et al., 2012), and field experiments (D."
"79","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+92","These technical advantages are compelling, but researchers should use MTurk with care."
"80","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+93","While more diverse than college samples, workers (like Internet users) are not a representative sample, and sample composition varies dynamically."
"81","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+94","The potential for arbitrary design choices to influence sample composition suggests that researchers should be transparent in the materials used in their studies and the methods used to recruit and exclude participants."
"82","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+95","The low cost of MTurk data facilitates the col- lection of well-powered samples that, ceteris paribus, bet- ter reflect the available workforce."
"83","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+96","Further, tools exist to recruit desired workers (e.g., those who are attentive and produce quality work) and avoid undesired workers (e.g., those who are known to have participated in similar stud- ies in the past), allowing further control over the final sam- ple."
"84","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+97","Finally, important questions remain unanswered about the cognitive profile of workers at large; the specifics of how prior experience, community norms, and other fac- tors influence survey response; and how sampling deci- sions (e.g., when the task is posted and how it is described) influence the characteristics of MTurk samples."
"85","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+98","Recommended Reading Chandler, J., Mueller, P., & Paolacci, G."
"86","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+101","An article that discusses and explores empirically several methodological concerns connected to MTurk experimen- tation."
"87","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+108","An article that, in addition to validating MTurk for experimental research in economics, discusses exten- sively issues related to experimental validity on MTurk."
"88","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+112","An article that provides an overview of MTurk and can be a useful begin- ner’s guide for researchers considering collecting data from MTurk workers."
"89","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+117","An article that replicates classic findings in the decision-making literature and benchmarks MTurk against other participant pools."
"90","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+118","Declaration of Conflicting Interests The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article."
"91","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+119","References Aker, A., El-Haj, M., Albakour, M.-D., & Kruschwitz, U."
"92","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+122","Paper presented at the 8th International Conference on Language Resources and Evaluation, Istanbul, Turkey."
"93","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+146","Evaluating online labor markets for experimental research: Amazon. com’s Mechanical Turk."
"94","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+151","Amazon’s Mechanical Turk: A new source  of  inexpensive,  yet  high- quality, data?"
"95","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+155","Breaking monotony with meaning: Motivation in crowdsourcing markets."
"96","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+159","Nonnaïveté  among Amazon Mechanical Turk workers: Consequences and solutions for behavioral researchers."
"97","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+174","Paper pre- sented at the Association for Computing Machinery’s Special Interest Group on Knowledge Discovery and Data Mining Workshop on Human Computation, Washington, DC."
"98","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+181","Evaluating Amazon’s Mechanical Turk as a tool for exper- imental behavioral research."
"99","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+185","Emotional reactions to los- ing explain gender differences in entering a risky lottery."
"100","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+196","Data col- lection in a flat world: The strengths and weaknesses of Mechanical Turk samples."
"101","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+200","Crowdsourcing  graphi- cal  perception:  Using  Mechanical  Turk  to  assess  visualiza- tion design."
"102","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+201","Paper presented at the Special Interest Group on  Computer-Human  Interaction  Conference  on  Human Factors in Computing Systems, Atlanta, GA."
"103","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+206","Assessing the reliability of the M5-120 on Amazon’s Mechanical Turk."
"104","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+213","Paper presented at the 11th Association for Computing Machinery Conference on Electronic Commerce, Cambridge, MA."
"105","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+219","The online laboratory: Conducting experiments in a real labor market."
"106","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+223","An exploration of the influence that task parameters have on the performance of crowds."
"107","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+227","The face of quality in crowdsourcing rel- evance labels: Demographics, personality and labeling accuracy."
"108","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+228","Paper  presented  at  the  Proceedings   of   the  21st Association for Computing Machinery International Conference on Information and Knowledge Management, Lahaina, HI."
"109","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+249","Investigating variation in replicability: A “many labs” repli- cation project."
"110","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+255","Paper presented at the Proceedings of the Special Interest Group on Computer-Human Interaction Conference on Human Factors in Computing Systems, Paris, France."
"111","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+259","Paper presented at the Proceedings of the 3rd BELIV’10 Workshop: Beyond Time and Errors: Novel Evaluation Methods for Information Visualization, Atlanta, GA."
"112","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+263","Using the Amazon Mechanical Turk for transcription of spoken lan- guage."
"113","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+264","In Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing (pp."
"114","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+268","Conducting  behavioral  research on Amazon’s Mechanical Turk."
"115","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+274","Proceedings of the Human Computation Workshop: Knowledge Discovery and Data Mining Conference, Paris, France."
"116","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+279","Proceedings of the National Academy of Sciences, USA, 109, 764–769."
"117","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+287","Reputation as a sufficient condition for data quality on Amazon Mechanical Turk."
"118","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+292","The promise of Mechanical Turk: How online labor markets can help theorists run behavioral experiments."
"119","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+307","Intuitive  cooperation  and   the   social   heuris- tics hypothesis: Evidence from 15 time constraint studies."
"120","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+309","Rogstadius, J., Kostakos, V., Kittur, A., Smus, B., Laredo, J., & Vukovic, M."
"121","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+311","An assessment of intrinsic and extrinsic motivation on task performance in crowdsourc- ing markets."
"122","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+312","Paper presented at the 5th International AAAI Conference on Weblogs and Social Media, Barcelona, Spain."
"123","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+313","Ross, J., Irani, L., Silberman, M., Zaldivar, A., & Tomlinson, B."
"124","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+315","Who are the crowdworkers?: Shifting demo- graphics in Mechanical Turk."
"125","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+316","Paper presented  at  the CHI’10 Extended Abstracts on Human Factors in Computing Systems, Atlanta, GA."
"126","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+326","Collecting response times using Amazon Mechanical Turk and Adobe Flash."
"127","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+330","A validation of Amazon Mechanical Turk for the collection of acceptability judgments in linguistic theory."
"128","Inside the Turk- Understanding Mechanical Turk as a Participant Pool_2014_A+337","Paper presented at the 3rd Association for the Advancement of Artificial Intelligence Human Computation Workshop, San Francisco, CA."
"129","Multiple numeric competencies- When a number is not just a number_2015_A+4","Numeric competency, however, may be multiply determined, but little research has examined potentially separable influences in evaluations and choice."
"130","Multiple numeric competencies- When a number is not just a number_2015_A+5","In the present article, we describe 3 numeric competencies and begin to disentangle their effects."
"131","Multiple numeric competencies- When a number is not just a number_2015_A+6","Participants (N = 111) completed a series of tasks in 4 1-hr sessions."
"132","Multiple numeric competencies- When a number is not just a number_2015_A+7","We first examined relations between objective numeracy, subjective numeracy, and symbolic-number mapping abilities (thought to tap into internal representations of numeric magnitude and the mapping of symbolic numbers onto those representations) using a structural equation model."
"133","Multiple numeric competencies- When a number is not just a number_2015_A+8","We then explored their dissociations in numeric and nonnumeric tasks."
"134","Multiple numeric competencies- When a number is not just a number_2015_A+9","Higher vs. lower scores in objective numeracy were associated with explicit number operations, including number comparisons and calculations."
"135","Multiple numeric competencies- When a number is not just a number_2015_A+10","Those with more vs. less exact mapping had better numeric memory (but not nonnumeric) and produced valuations that were closer to (but did not equal) a risky gamble’s expected value, indicating a link with superior number intuitions."
"136","Multiple numeric competencies- When a number is not just a number_2015_A+11","Finally, individuals lower vs. higher in subjective numeracy had more negative emotional reactions to numbers and were less motivated and/or confident in numeric tasks."
"137","Multiple numeric competencies- When a number is not just a number_2015_A+12","It was less clear whether subjective numeracy might also relate to more general motivations and metacognitions involving nonnumeric information."
"138","Multiple numeric competencies- When a number is not just a number_2015_A+13","We conclude that numeric competencies should be used in a more targeted fashion to understand their multiple mechanisms in people’s evaluations, choices, and life outcomes."
"139","Multiple numeric competencies- When a number is not just a number_2015_A+16","This document is copyrighted by the American Psychological Association or one of its allied publishers."
"140","Multiple numeric competencies- When a number is not just a number_2015_A+17","This article is intended solely for the personal use of the individual user and is not to be disseminated broadly."
"141","Multiple numeric competencies- When a number is not just a number_2015_A+18","Jeff is a friend of one of the authors and a highly skilled carpenter who claims he is “no good at math.”"
"142","Multiple numeric competencies- When a number is not just a number_2015_A+19","He excels, however, at estimating the angles, lengths, and areas that are critical to his craft."
"143","Multiple numeric competencies- When a number is not just a number_2015_A+20","Ruth, a smart and personable woman in her 70s, broke down crying while attempting to answer questions about numeric data in a Medicare insurance choice experiment."
"144","Multiple numeric competencies- When a number is not just a number_2015_A+21","She explained through tears that she was “not a numbers person” and that her husband This article was published Online First October 6, 2014."
"145","Multiple numeric competencies- When a number is not just a number_2015_A+22","Ellen Peters, Psychology Department, The Ohio State University; Par Bjalkebring, Psychology Department, Goteborg University, and Psychol- ogy Department, The Ohio State University."
"146","Multiple numeric competencies- When a number is not just a number_2015_A+23","This study was supported by National Science Foundation Grants SES- 1047757 and SES-1155924."
"147","Multiple numeric competencies- When a number is not just a number_2015_A+24","Portions of this article were presented at the Center for Adaptive Rationality in the Max Planck Institute for Human Development, the 2013 annual conferences for Subjective Probability Utility and Decision Making and the Society for Judgment and Decision Making, and the BLEND workshop on individual differences at University of Notre Dame Law School in London."
