"","titles","contents"
"79","Highlighting inadequacies of previous studies","The research to date has tended to focus on X rather than Y"
"80","Highlighting inadequacies of previous studies","Previously published studies on the effect of X are not consistent"
"81","Highlighting inadequacies of previous studies","Smith’s analysis does not take account of"
"82","Highlighting inadequacies of previous studies",", nor does she examine"
"83","Highlighting inadequacies of previous studies","The existing accounts fail to resolve the contradiction between X and Y"
"84","Highlighting inadequacies of previous studies","Most studies of X have only been carried out in a small number of areas"
"85","Highlighting inadequacies of previous studies","However, much of the research up to now has been descriptive in nature"
"86","Highlighting inadequacies of previous studies","The generalisability of much published research on this issue is problematic"
"87","Highlighting inadequacies of previous studies","Research on the subject has been mostly restricted to limited comparisons of"
"88","Highlighting inadequacies of previous studies","However, few writers have been able to draw on any systematic research into"
"89","Highlighting inadequacies of previous studies","Short-term studies such as these do not necessarily show subtle changes over time"
"90","Highlighting inadequacies of previous studies","Although extensive research has been carried out on X, no single study exists which"
"91","Highlighting inadequacies of previous studies","However, these results were based upon data from over 30 years ago and it is unclear if"
"92","Highlighting inadequacies of previous studies","The experimental data are rather controversial, and there is no general agreement about"
"93","Identifying a weakness in a single study or paper","Smith fails to fully define what"
"94","Identifying a weakness in a single study or paper","Jones fails to acknowledge the significance of"
"95","Identifying a weakness in a single study or paper","the author overlooks the fact that X contributes to Y"
"96","Identifying a weakness in a single study or paper","what Smith fails to do is to draw a distinction between"
"97","Identifying a weakness in a single study or paper","the paper would appear to be over-ambitious in its claims"
"98","Identifying a weakness in a single study or paper","another weakness is that we are given no explanation of how"
"99","Identifying a weakness in a single study or paper","no attempt was made to quantify the association between X and Y"
"100","Identifying a weakness in a single study or paper","the main weakness of the study is the failure to address how"
"101","Identifying a weakness in a single study or paper","the study fails to consider the differing categories of damage that"
"102","Identifying a weakness in a single study or paper","the research does not take into account pre-existing"
"103","Identifying a weakness in a single study or paper","the author offers no explanation for the distinction between X and Y"
"104","Identifying a weakness in a single study or paper","Smith makes no attempt to differentiate between different types of X"
"105","Identifying a weakness in a single study or paper","SmithThe paperThe book"
"106","Identifying a weakness in a single study or paper","fails todoes notmakes no attempt to"
"107","Identifying a weakness in a single study or paper","explain the meaning of"
"108","Identifying a weakness in a single study or paper","provide information on"
"109","Identifying a weakness in a single study or paper","address the question of"
"110","Identifying a weakness in a single study or paper","assess the effectiveness of"
"111","Identifying a weakness in a single study or paper","use a standardised method of"
"112","Identifying a weakness in a single study or paper","give sufficient consideration to"
"113","Identifying a weakness in a single study or paper","consider the long term impact of"
"114","Identifying a weakness in a single study or paper","offer an adequate explanation for"
"115","Identifying a weakness in a single study or paper","engage with current discourses on"
"116","Identifying a weakness in a single study or paper","determine the underlying causes of"
"117","Identifying a weakness in a single study or paper","systematically review all the relevant literature"
"118","Offering constructive suggestions","The study would have been more interesting if it had included"
"119","Offering constructive suggestions","These studies would have been more useful if they had focused on"
"120","Offering constructive suggestions","The study would have been more relevant if the researchers had asked"
"121","Offering constructive suggestions","The questionnaire would have been more useful if it had asked participants about"
"122","Offering constructive suggestions","The research would have been more relevant if a wider range of X had been explored"
"123","Offering constructive suggestions","The studyThe findingsSmith’s paperHer conclusions"
"124","Offering constructive suggestions","would have beenbreakmight have been"
"125","Offering constructive suggestions","morebreakfar morebreakmuch more"
"126","Offering constructive suggestions","usefuloriginalrelevantconvincinginterestingpersuasive"
"127","Offering constructive suggestions","if he/she hadbreakif the author had"
"128","Introducing problems and limitations: theory or argument","The main weakness with this theory is that"
"129","Introducing problems and limitations: theory or argument","The key problem with this explanation is that"
"130","Introducing problems and limitations: theory or argument","However, this theory does not fully explain why"
"131","Introducing problems and limitations: theory or argument","One criticism of much of the literature on X is that"
"132","Introducing problems and limitations: theory or argument","However, there is an inconsistency with this argument"
"133","Introducing problems and limitations: theory or argument","A serious weakness with this argument, however, is that"
"134","Introducing problems and limitations: theory or argument","One question that needs to be asked, however, is whether"
"135","Introducing problems and limitations: theory or argument","Smith’s argument relies too heavily on qualitative analysis of"
"136","Introducing problems and limitations: theory or argument","Smith’s interpretation overlooks much of the historical research"
"137","Introducing problems and limitations: theory or argument","Many writers have challenged Smith’s claim on the grounds that"
"138","Introducing problems and limitations: theory or argument","Smith’s analysis does not take account of X, nor does he examine"
"139","Introducing problems and limitations: theory or argument","It seems that Jones’ understanding of the X framework is questionable"
"140","Introducing problems and limitations: theory or argument","The existing accounts fail to resolve the contradiction between X and Y"
"141","Introducing problems and limitations: theory or argument","One of the limitations with this explanation is that it does not explain why"
"142","Introducing problems and limitations: method or practice","One major drawback of this approach is that"
"143","Introducing problems and limitations: method or practice","Selection bias is another potential concern because"
"144","Introducing problems and limitations: method or practice","Perhaps the most serious disadvantage of this method is that"
"145","Introducing problems and limitations: method or practice","The main limitation of biosynthetic incorporation, however, is"
"146","Introducing problems and limitations: method or practice","Non-government agencies are also very critical of the new policies"
"147","Introducing problems and limitations: method or practice","All the studies reviewed so far, however, suffer from the fact that"
"148","Introducing problems and limitations: method or practice","Critics of laboratory-based experiments contend that such studies"
"149","Introducing problems and limitations: method or practice","Another problem with this approach is that it fails to take X into account"
"150","Introducing problems and limitations: method or practice","Difficulties arise, however, when an attempt is made to implement the policy"
"151","Introducing problems and limitations: method or practice","Critics have also argued that not only do surveys provide an inaccurate measure of X, but the"
"152","Introducing problems and limitations: method or practice","Nevertheless, the strategy has not escaped criticism from governments, agencies and academics"
"153","Introducing problems and limitations: method or practice","this method of analysis has a number of limitations"
"154","Introducing problems and limitations: method or practice","this method does involve potential measurement error"
"155","Introducing problems and limitations: method or practice","there are limits to how far the idea of/concept of X can be taken"
"156","Introducing problems and limitations: method or practice","approaches of this kind carry with them various well known limitations"
"157","Introducing problems and limitations: method or practice","one of the problems with the instrument the researchers used to measure X was"
"158","Introducing problems and limitations: method or practice","However, all the previously mentioned methods suffer from some serious"
"159","Using evaluative adjectives to comment on research","investigation (into X),"
"160","Using evaluative adjectives to comment on research","Smith (2012) showed that"
"161","Using evaluative adjectives to comment on research","Jones (2013) concluded that"
"162","Introducing general criticism","Critics question the ability of poststructuralist theory to provide"
"163","Introducing general criticism","Non-government agencies are also very critical of the new policies"
"164","Introducing general criticism","Smith’s meta-analysis has been subjected to considerable criticism"
"165","Introducing general criticism","The most important of these criticisms is that Smith failed to note that"
"166","Introducing general criticism","The X theory has been vigorously challenged in recent years by a number of writers"
"167","Introducing general criticism","These claims have been strongly contested in recent years by a number of writers"
"168","Introducing general criticism","More recent arguments against X have been summarised by Smith and Jones (1982):Critics have also argued that not only do surveys provide an inaccurate measure of X, but the"
"169","Introducing general criticism","Many analysts now argue that the strategy of X has not been successful"
"170","Introducing general criticism","Jones (2003), for example, argues that"
"171","Introducing the critical stance of particular writers","Jones (2003) has also questioned why"
"172","Introducing the critical stance of particular writers","However, Jones (2003) points out that"
"173","Introducing the critical stance of particular writers","The author challenges the widely held view that"
"174","Introducing the critical stance of particular writers","Smith (1999) takes issue with the contention that"
"175","Introducing the critical stance of particular writers","was first challenged by Smith (1992)"
"176","Introducing the critical stance of particular writers","Smith is critical of the tendency to compartmentalise X"
"177","Introducing the critical stance of particular writers","However, Smith (1967) questioned this hypothesis and"
"178","Introducing the critical stance of particular writers","Smith (1980) broke with tradition by raising the question of"
"179","Introducing the critical stance of particular writers","Jones (2003) has challenged some of Smith’s conclusions, arguing that"
"180","Introducing the critical stance of particular writers","Another major criticism of Smith’s study, made by Jones (2003), is that"
"181","Introducing the critical stance of particular writers","Jones (2003) is critical of the conclusions that Smith draws from his findings"
"182","Introducing the critical stance of particular writers","An alternative interpretation of the origins of X can be found in Smith (1976)"
"183","Introducing the critical stance of particular writers","Jones (2003) is probably the best known critic of the X theory"
"184","Introducing the critical stance of particular writers","In her discussion of X, Smith further criticises the ways in which some authors"
"185","Introducing the critical stance of particular writers","Smith’s decision to reject the classical explanation of X merits some discussion"
"186","Introducing the critical stance of particular writers","The latter point has been devastatingly critiqued by Jones (2003), who argues that"
"187","Introducing the critical stance of particular writers","In a recent article in Academic Journal, Smith (2014) questions the extent to which"
"188","Introducing the critical stance of particular writers","A recently published article by Smith et al"
"189","Introducing the critical stance of particular writers","(2011) casts doubt on Jones’ assumption that"
"190","Introducing the critical stance of particular writers","Other authors (see Harbison, 2003; Kaplan, 2004) question the usefulness of such an approach"
"191","Classifying a topic","X can be classified into Xi and Xii"
"192","Classifying a topic","X can be categorised into Xi, Xii and Xiii"
"193","Classifying a topic","Several taxonomies for X have been developed"
"194","Classifying a topic","Different methods have been proposed to classify"
"195","Classifying a topic","X may be divided into several groups: a)"
"196","Classifying a topic","Generally, X provides two types of information: Xi and Xii"
"197","Classifying a topic","It has become commonplace to distinguish ‘Xi’ from ‘Xii’ forms of X"
"198","Classifying a topic","X is generally classified into two types: Xi, also known as"
"199","Classifying a topic","There are two basic approaches currently being adopted in research into X"
"200","Classifying a topic","The theory distinguishes two different types of X, i"
"201","Classifying a topic","social X and semantic X (Smith, 2013)"
"202","Classifying a topic","The works of Smith fall under three headings: (1) dialogues and"
"203","Classifying a topic",", (2) collections of facts, and"
"204","Classifying a topic","X may be divided into"
"205","Classifying a topic","on the basis ofaccording todepending onin terms of"
"206","Describing a specific system of classification","Smith (2015) draws a distinction between"
"207","Describing a specific system of classification","Smith (2006) categorised X as being a)"
"208","Describing a specific system of classification","Smith’s (1980) typology of X is the one most widely–used"
"209","Describing a specific system of classification","Jones (1987) distinguishes between systems that are a)"
"210","Describing a specific system of classification","A third method, proposed by Smith et al"
"211","Describing a specific system of classification","(2010), bases the classification on a"
"212","Describing a specific system of classification","To better understand X, Smith et al"
"213","Describing a specific system of classification","(2011) classified Y into three distinct types using"
"214","Describing a specific system of classification","For Smith, X is of four kinds: (1) X which"
"215","Describing a specific system of classification","In Jones’s system, individuals were classified as belonging to upper or lower categories of"
"216","Describing a specific system of classification","Smith’s Taxonomy is a classification system used to define and distinguish different levels of"
"217","Describing a specific system of classification","Smith and Jones (2003) argue that there are two broad categories of Y, which are: a)"
"218","Describing a specific system of classification","In the traditional system, X is graded"
"219","Describing a specific system of classification","dividedclassifiedgrouped"
"220","Describing a specific system of classification","into two broad types: Xi’s and Xii’s"
"221","Describing a specific system of classification","Thomas (1996) describes"
"222","Describing a specific system of classification","four basic kinds of validity:"
"223","Describing a specific system of classification","logical, content, criterion and construct"
"224","Commenting on a system of classification","This system of classification"
"225","Commenting on a system of classification","can vary depending on"
"226","Commenting on a system of classification","was agreed upon after"
"227","Commenting on a system of classification","has been broadened to include"
"228","Commenting on a system of classification","was developed for the purpose of"
"229","Commenting on a system of classification","is more scientific since it is based on"
"230","Commenting on a system of classification","is in need of revision"
"231","Commenting on a system of classification","has limited utility with respect to"
"232","Introducing lists","This topic can best be treated under three headings: X, Y and Z"
"233","Introducing lists","The key aspects of management can be listed as follows: X, Y and Z"
"234","Introducing lists","There are three reasons why the English language has become so dominant"
"235","Introducing lists","These are:There are two types of effect which result when a patient undergoes X"
"236","Introducing lists","The disadvantages of the new approach can be discussed under three headings, which are:"
"237","Introducing lists","The Three Voices for Mass is divided into six sections"
"238","Introducing lists","These are: the Kyrie, Gloria,"
"239","Introducing lists","Appetitive stimuli have three separable basic functions"
"240","Introducing lists","During his tour of Britain, he visited the following industrial centres: Manchester, Leeds, and"
"241","Introducing lists","This section has been included for several reasons: it is"
"242","Introducing lists","The Mass for Four Voices consists of five movements, which are: the Kyrie, Gloria, Credo, Sanctus and Agnus Dei"
"243","Referring to other people's lists","Smith and Jones (1991) list X, Y and Z as the major causes of infant mortality"
"244","Referring to other people's lists","Smith (2003) lists the main features of X as follows: it is X; it is Y; and it has Z"
"245","Referring to other people's lists","Smith (2003) argues that there are two broad categories of Y, which are: a)"
"246","Referring to other people's lists","For Aristotle, motion is of four kinds: (1) motion which"
"247","Referring to other people's lists","Smith (2003) suggests three conditions for X"
"248","Referring to other people's lists","Secondly, it needs to be"
"249","Introducing differences","X is different from Y in a number of respects"
"250","Introducing differences","X differs from Y in a number of important ways"
"251","Introducing differences","There are a number of important differences between X and Y"
"252","Introducing differences","Areas where significant differences have been found include X and Y"
"253","Introducing differences","In contrast to earlier findings, however, no evidence of X was detected"
"254","Introducing differences","A descriptive case study differs from an exploratory study in that it uses"
"255","Introducing differences","Jones (2013) found dramatic differences in the rate of decline of X between Y and Z"
"256","Introducing differences","Women and men differ not only in physical attributes but also in the way in which they"
"257","Introducing differences","The nervous systems of Xs are significantly different from those of Ys in several key respects"
"258","Introducing differences","majornotabledistinctonly slightsignificantconsiderable"
"259","Introducing differences","differences between X and Y"
"260","Introducing similarities","Both X and Y share a number of key features"
"261","Introducing similarities","There are a number of similarities between X and Y"
"262","Introducing similarities","The effects of X on human health are similar to those of Y"
"263","Introducing similarities","Both X and Y generally take place in a ‘safe environment’"
"264","Introducing similarities","These results are similar to those reported by (Smith et al"
"265","Introducing similarities","This definition is similar to that found in (Smith, 2001) who writes:The return rate is similar to that of comparable studies (e"
"266","Introducing similarities","The approach used in this investigation is similar to that used by other researchers"
"267","Introducing similarities","Studies have compared Xs in humans and animals and found that they are essentially identical"
"268","Introducing similarities","The mode of processing used by the right brain"
"269","Introducing similarities","is similar to thatis comparable to thatis comparable in complexity to that"
"270","Introducing similarities","used by the left brain"
"271","Comparing within one sentence","Oral societies tend to be more concerned with the present"
"272","Comparing within one sentence","literate societies have a very definite awareness of the past"
"273","Comparing within one sentence","oral societies tend to be more concerned with the present,"
"274","Comparing within one sentence","literate societies have a very definite awareness of the past"
"275","Comparing within one sentence","differs from thatcontrasts with thatis different from that"
"276","Comparing within one sentence","of Smith and Jones (2004) who argue that"
"277","Comparing within one sentence","In contrast to oral communities,"
"278","Comparing within one sentence","it is very difficult to get away from calendar time in literate societies"
"279","Comparing within one sentence","Compared with people in oral cultures,"
"280","Comparing within one sentence","people in literate cultures organise their lives around clocks and calendars"
"281","Comparing within one sentence: comparative forms","In the trial, women made more/fewer errors than men"
"282","Comparing within one sentence: comparative forms","Women tend to have greater/less verbal fluency than men"
"283","Comparing within one sentence: comparative forms","Women are more/less likely than men to perform well in tests"
"284","Comparing within one sentence: comparative forms","Women are more/less accurate in tests of target-directed motor skills"
"285","Comparing within one sentence: comparative forms","Women tend to perform better/worse than men on tests of perceptual speed"
"286","Comparing within one sentence: comparative forms","Women are faster/slower than men at certain precision manual tasks, such as"
"287","Comparing within one sentence: comparative forms","Women are more/less likely to suffer from X when the front part of the brain is damaged"
"288","Comparing within one sentence: comparative forms","The part of the brain connecting the two hemispheres may be more/less extensive in women"
"289","Indicating difference across two sentences","It is very difficult to get away from calendar time in literate societies"
"290","Indicating difference across two sentences","By contrast,In contrast,On the other hand,"
"291","Indicating difference across two sentences","many people in oral communities have little idea of the calendar year of their birth"
"292","Indicating similarity across two sentences","Young children learning their first language need simplified input"
"293","Indicating similarity across two sentences","Similarly,Likewise,In the same way,"
"294","Indicating similarity across two sentences","low level adult L2 learners need graded input supplied in most cases by a teacher"
"295","Introductory phrases","The term ‘X’ was first used by"
"296","Introductory phrases","The term ‘X’ can be traced back to"
"297","Introductory phrases","Previous studies mostly defined X as"
"298","Introductory phrases","The term ‘X’ was introduced by Smith in her"
"299","Introductory phrases","Historically, the term ‘X’ has been used to describe"
"300","Introductory phrases","It is necessary here to clarify exactly what is meant by"
"301","Introductory phrases","This shows a need to be explicit about exactly what is meant by the word ‘X’"
"302","Introductory phrases","Simple three-part definitions"
"303","Introductory phrases","where knowledge is produced and passed on to others"
"304","Introductory phrases","Social Economics may be defined as"
"305","Introductory phrases","the branch of economics"
"306","Introductory phrases","[which is] concerned with the measurement, causes, and consequences of social problems"
"307","Introductory phrases","Research may be defined as"
"308","Introductory phrases","which consists of three elements or components: (1) a question, problem, or hypothesis, (2) data, and (3) analysis and interpretation of data"
"309","Introductory phrases","of touch reading and writing for blind people in which raised dots on paper represent the letters of the alphabet"
"310","General meanings or application of meanings","The term ‘X’ refers to"
"311","General meanings or application of meanings","X can broadly be defined as"
"312","General meanings or application of meanings","X can be loosely described as"
"313","General meanings or application of meanings","The term ‘X’ encompasses A), B), and C)"
"314","General meanings or application of meanings","The term ‘X’ has come to be used to refer to"
"315","General meanings or application of meanings","The term ‘X’ is generally understood to mean"
"316","General meanings or application of meanings","In the literature, the term tends to be used to refer to"
"317","General meanings or application of meanings","In broad terms, X can be defined as any stimulus that is"
"318","General meanings or application of meanings","Whereas X refers to the operations of"
"319","General meanings or application of meanings","The broad use of the term ‘X’ is sometimes equated with"
"320","General meanings or application of meanings","The term ‘X’ has been used to refer to situations in which"
"321","General meanings or application of meanings","The term ‘disease’ refers to a biological event characterised by"
"322","General meanings or application of meanings","The term ‘X’ is a relatively new name for a Y, commonly referred to as"
"323","General meanings or application of meanings","Defined as X, obesity is now considered a worldwide epidemic and is associated with"
"324","Indicating varying definitions","The definition of X has evolved"
"325","Indicating varying definitions","There are multiple definitions of X"
"326","Indicating varying definitions","Several definitions of X have been proposed"
"327","Indicating varying definitions","In the field of X, various definitions of X are found"
"328","Indicating varying definitions","The term ‘X’ embodies a multitude of concepts which"
"329","Indicating varying definitions","This term has two overlapping, even slightly confusing meanings"
"330","Indicating varying definitions","Widely varying definitions of X have emerged (Smith and Jones, 1999)"
"331","Indicating varying definitions","Despite its common usage, X is used in different disciplines to mean different things"
"332","Indicating varying definitions","Since the definition of X varies among researchers, it is important to clarify how the term is"
"333","Indicating varying definitions","The meaning of this term"
"334","Indicating varying definitions","has been extended to refer to"
"335","Indicating varying definitions","has been broadened in recent years"
"336","Indicating varying definitions","has not been consistent throughout"
"337","Indicating varying definitions","has changed somewhat from its original definition"
"338","Indicating difficulties in defining a term","X is a contested term"
"339","Indicating difficulties in defining a term","X is a rather nebulous term"
"340","Indicating difficulties in defining a term","X is challenging to define because"
"341","Indicating difficulties in defining a term","A precise definition of X has proved elusive"
"342","Indicating difficulties in defining a term","A generally accepted definition of X is lacking"
"343","Indicating difficulties in defining a term","Unfortunately, X remains a poorly defined term"
"344","Indicating difficulties in defining a term","There is no agreed definition on what constitutes"
"345","Indicating difficulties in defining a term","There is little consensus about what X actually means"
"346","Indicating difficulties in defining a term","There is a degree of uncertainty around the terminology in"
"347","Indicating difficulties in defining a term","These terms are often used interchangeably and without precision"
"348","Indicating difficulties in defining a term","Numerous terms are used to describe X, the most common of which are"
"349","Indicating difficulties in defining a term","The definition of X varies in the literature and there is terminological confusion"
"350","Indicating difficulties in defining a term","Smith (2001) identified four abilities that might be subsumed under the term ‘X’: a)"
"351","Indicating difficulties in defining a term","‘X’ is a term frequently used in the literature, but to date there is no consensus about"
"352","Indicating difficulties in defining a term","X is a commonly-used notion in psychology and yet it is a concept difficult to define precisely"
"353","Indicating difficulties in defining a term","Although differences of opinion still exist, there appears to be some agreement that X refers to"
"354","Specifying terms that are used in an essay or thesis","The term ‘X’ is used here to refer to"
"355","Specifying terms that are used in an essay or thesis","In the present study, X is defined as"
"356","Specifying terms that are used in an essay or thesis","The term ‘X’ will be used solely when referring to"
"357","Specifying terms that are used in an essay or thesis","In this essay, the term ‘X’ will be used in its broadest sense to refer to all"
"358","Specifying terms that are used in an essay or thesis","In this paper, the term that will be used to describe this phenomenon is ‘X’"
"359","Specifying terms that are used in an essay or thesis","In this dissertation, the terms ‘X’ and ‘Y’ are used interchangeably to mean"
"360","Specifying terms that are used in an essay or thesis","Throughout this thesis, the term ‘X’ is used to refer to informal systems as well as"
"361","Specifying terms that are used in an essay or thesis","While a variety of definitions of the term ‘X’ have been suggested, this paper will use the definition first suggested by Smith (1968) who saw it as"
"362","Referring to people’s definitions: author prominent","For Smith (2001), X means"
"363","Referring to people’s definitions: author prominent","Smith (2001) uses the term ‘X’ to refer to"
"364","Referring to people’s definitions: author prominent","Smith (1954) was apparently the first to use the term"
"365","Referring to people’s definitions: author prominent","In 1987, psychologist John Smith popularized the term ‘X’ to describe"
"366","Referring to people’s definitions: author prominent","According to a definition provided by Smith (2001:23), X is ‘the maximally"
"367","Referring to people’s definitions: author prominent","This definition is close to those of Smith (2012) and Jones (2013) who define X as"
"368","Referring to people’s definitions: author prominent","Smith, has shown that, as late as 1920, Jones was using the term ‘X’ to refer to particular"
"369","Referring to people’s definitions: author prominent","One of the first people to define nursing was Florence Nightingale (1860), who wrote: ‘"
"370","Referring to people’s definitions: author prominent","’Chomsky writes that a grammar is a ‘device of some sort for producing the"
"371","Referring to people’s definitions: author prominent","Aristotle defines the imagination as ‘the movement which results upon an actual sensation"
"372","Referring to people’s definitions: author prominent","(2002) have provided a new definition of health: ‘health is a state of being with"
"373","Referring to people’s definitions: author non-prominent","X is defined by Smith (2003: 119) as ‘"
"374","Referring to people’s definitions: author non-prominent","’The term ‘X’ is used by Smith (2001) to refer to"
"375","Referring to people’s definitions: author non-prominent","X is, for Smith (2012), the situation which occurs when"
"376","Referring to people’s definitions: author non-prominent","A further definition of X is given by Smith (1982) who describes"
"377","Referring to people’s definitions: author non-prominent","The term ‘X’ is used by Aristotle in four overlapping senses"
"378","Referring to people’s definitions: author non-prominent","First, it is the underlying"
"379","Referring to people’s definitions: author non-prominent","X is the degree to which an assessment process or device measures"
"380","Commenting on a definition","will continue to evolve"
"381","Commenting on a definition","can vary depending on"
"382","Commenting on a definition","was agreed upon after"
"383","Commenting on a definition","has been broadened to include"
"384","Commenting on a definition","The following definition is"
"385","Commenting on a definition","too simplistic:useful because"
"386","Commenting on a definition","in need of revision since"
"387","Commenting on a definition","important for what it excludes"
"388","Commenting on a definition","the most precise produced so far"
"389","Describing trends","The graph shows that there has been aFigure 2  reveals that there has been a"
"390","Describing trends","slightsteepsharpsteadygradualmarked"
"391","Describing trends","fallrisedropdeclineincreasedecrease"
"392","Describing trends","in the number of divorces in England and Wales since 1981"
"393","Highlighting a trend in a table or chart","What is strikingWhat stands outWhat is interestingWhat can be clearly seen"
"394","Highlighting a trend in a table or chart","is the variability of"
"395","Highlighting a trend in a table or chart","is the rapid decrease in"
"396","Highlighting a trend in a table or chart","is the steady decline of"
"397","Highlighting a trend in a table or chart","is the general pattern of"
"398","Highlighting a trend in a table or chart","is the dramatic decline in"
"399","Highlighting a trend in a table or chart","is the continual growth of"
"400","Highlighting a trend in a table or chart","is the difference between"
"401","Highlighting a trend in a table or chart","is the phenomenal growth of"
"402","Describing high and low points in figures","Production of X peaked in 1985"
"403","Describing high and low points in figures","X rose to a high point and peaked in"
"404","Describing high and low points in figures","The peak age for committing a crime is 18"
"405","Describing high and low points in figures","The number of Xs reached a peak during"
"406","Describing high and low points in figures","Production of X reached a low point in 1990"
"407","Describing high and low points in figures","The rate fell to a low point of $5"
"408","Describing high and low points in figures","00 at the end of the year"
"409","Projecting trends","The rate of ZThe amount of YThe number of Xs"
"410","Projecting trends","is likely towill probablyis expected tois projected to"
"411","Projecting trends","increaselevel offdecline by"
"412","Projecting trends","drop sharplyremain steadybe as high as"
